,50:9A:4C:53:EC:B7,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:80:A1:19,Probably not Windows,
,A0:48:1C:7F:70:19,Microsoft Windows XP SP2,87
,00:13:3B:0E:FF:33,Microsoft Windows 10 build 10586 - 14393,93
,F0:92:1C:E0:C7:BA,Microsoft Windows Server 2008 or 2008 Beta 3,100
,00:22:19:14:A6:45,Microsoft Windows Server 2008 or 2008 Beta 3,100
,B8:AC:6F:A1:7A:56,Microsoft Windows 7,98
,00:C0:B7:D5:DF:4D,Probably not Windows,
,A0:48:1C:87:72:EB,Microsoft Windows 10 build 10586 - 14393,93
,A0:D3:C1:29:EA:7E,Microsoft Windows 7 Professional or Windows 8,100
,00:21:70:18:B8:E1,Probably not Windows,
,94:57:A5:F1:44:03,Microsoft Windows Server 2008 or 2008 Beta 3,100
,64:51:06:5E:BF:4D,Microsoft Windows Server 2008 or 2008 Beta 3,100
,50:9A:4C:59:A6:77,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:87:73:50,Microsoft Windows Server 2008 or 2008 Beta 3,100
,00:24:E8:43:0B:18,Microsoft Windows Server 2008 SP1,90
,10:60:4B:81:5F:14,Microsoft Windows Server 2008 or 2008 Beta 3,100
,88:51:FB:48:24:31,Microsoft Windows Server 2008 or 2008 Beta 3,100
,24:BE:05:0D:87:8D,Microsoft Windows Server 2008 or 2008 Beta 3,100
,80:C1:6E:EA:CA:B8,Microsoft Windows Server 2008 or 2008 Beta 3,100
,AC:16:2D:02:ED:C1,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",92
,A0:D3:C1:2E:6D:D4,Microsoft Windows 7,100
,DC:4A:3E:6C:F6:27,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:F1:43:45,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:F1:44:BC,Microsoft Windows 10 build 10586,92
,74:46:A0:B3:E7:FF,Microsoft Windows 10 build 10586 - 14393,93
,EC:B1:D7:4E:7A:75,Microsoft Windows 10 build 14393,92
,48:0F:CF:63:1A:BC,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:F0:C4:71,Microsoft Windows 10 build 10586 - 14393,93
,48:0F:CF:5E:76:3F,Microsoft Windows 10 build 10586 - 14393,94
,A0:8C:FD:D2:EB:9F,Microsoft Windows 10 build 10586 - 14393,93
,DC:4A:3E:99:F0:44,Microsoft Windows 10 build 10586 - 14393,93
,00:50:56:87:3F:AE,Probably not Windows,
,00:50:56:87:3F:AE,Probably not Windows,
,00:50:56:87:3F:AE,Probably not Windows,
,00:50:56:87:3F:AE,Probably not Windows,
control.business.auburn.edu,00:22:19:5F:DF:DA,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,00:26:73:60:1A:10,Probably not Windows,
,00:00:74:D3:4B:D0,Probably not Windows,
,50:9A:4C:59:FE:5E,Microsoft Windows 10 build 14393,92
,AC:1F:6B:02:61:70,Probably not Windows,
,50:9A:4C:59:AC:EF,Microsoft Windows 10 build 10586 - 14393,93
,94:57:A5:EC:DB:62,Microsoft Windows 10 build 10586 - 14393,93
,EC:A8:6B:F8:32:3A,Probably not Windows,
,94:57:A5:EC:DB:70,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:87:73:C6,Probably not Windows,
,EC:B1:D7:2F:8B:DA,Probably not Windows,
,EC:B1:D7:4E:79:DE,Microsoft Windows Server 2008 or 2008 Beta 3,100
,50:9A:4C:59:F1:95,Probably not Windows,
,EC:B1:D7:59:4D:FB,Microsoft Windows 10 build 10586 - 14393,93
,EC:B1:D7:51:24:C7,Microsoft Windows Server 2008 or 2008 Beta 3,100
,08:2E:5F:12:9D:C0,Microsoft Windows Server 2008 or 2008 Beta 3,100
,48:0F:CF:4B:CE:0D,Microsoft Windows Server 2008 SP1,90
,94:57:A5:F1:44:D3,Microsoft Windows 10 build 10586 - 14393,93
,8C:DC:D4:50:A4:62,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,EC:B1:D7:59:49:39,Microsoft Windows Server 2008 or 2008 Beta 3,100
,50:65:F3:2C:C9:87,Microsoft Windows 10 build 10586 - 14393,93
,EC:B1:D7:48:E9:14,Microsoft Windows Server 2008 or 2008 Beta 3,100
,DC:4A:3E:6B:CF:6B,Microsoft Windows 10 build 10586 - 14393,93
,08:2E:5F:1D:48:D6,Microsoft Windows Server 2008 or 2008 Beta 3,100
,EC:B1:D7:51:25:22,Microsoft Windows Server 2008 or 2008 Beta 3,100
,EC:B1:D7:48:7E:E0,Microsoft Windows Server 2008 or 2008 Beta 3,100
,EC:B1:D7:59:4E:1F,Microsoft Windows 7 Professional or Windows 8,100
,8C:DC:D4:50:A4:B0,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,08:2E:5F:06:16:FE,Microsoft Windows Server 2008 or 2008 Beta 3,100
,00:25:90:AB:89:C8,Probably not Windows,
,00:25:90:AB:8A:AA,Probably not Windows,
,00:25:90:AB:8A:AA,Probably not Windows,
,A0:36:9F:59:CB:B8,Probably not Windows,
,A0:48:1C:7F:70:CF,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:80:A0:D2,Microsoft Windows 7 Professional or Windows 8,100
,EC:B1:D7:4E:78:EC,Microsoft Windows Server 2008 or 2008 Beta 3,100
,00:20:4A:A6:00:DF,Probably not Windows,
,00:20:4A:A6:00:E5,Probably not Windows,
,00:26:73:EA:DB:A9,Probably not Windows,
,A0:48:1C:87:74:05,Microsoft Windows Server 2008 or 2008 Beta 3,100
,2C:76:8A:3C:BE:2F,Probably not Windows,
,EC:A8:6B:F8:C5:38,Microsoft Windows Server 2008 R2 or Windows 8.1,100
,00:1B:78:EF:77:E8,Probably not Windows,
,1C:C1:DE:42:BF:02,Probably not Windows,
,A0:48:1C:80:A2:72,Microsoft Windows 10 build 10586 - 14393,93
opal.business.auburn.edu,00:50:56:87:24:55,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,EC:A8:6B:F8:9F:EB,Microsoft Windows Server 2008 R2 or Windows 8.1,100
turquoise.business.auburn.edu,00:50:56:87:24:13,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,00:50:56:87:1F:CF,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,00:00:74:B0:A5:FD,Probably not Windows,
cobzebi1.business.auburn.edu,00:25:90:AB:8A:AA,Probably not Windows,
,B0:5A:DA:C4:60:DA,Probably not Windows,
,00:1B:78:E7:7B:2F,Probably not Windows,
aquamarine.business.auburn.edu,00:50:56:87:29:BA,Probably not Windows,
,00:50:56:87:0E:1E,Probably not Windows,
zircon.business.auburn.edu,00:50:56:87:4D:55,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,EC:B1:D7:59:50:0C,Microsoft Windows Server 2008 or 2008 Beta 3,100
,EC:B1:D7:48:5B:DE,Microsoft Windows Server 2008 or 2008 Beta 3,100
,10:60:4B:8B:06:4B,Microsoft Windows Phone 7.5 or 8.0,92
,50:9A:4C:59:AC:F8,Microsoft Windows 10 build 10586 - 14393,93
,EC:B1:D7:59:4D:F4,Microsoft Windows 10 build 10586 - 14393,93
,48:0F:CF:5D:F8:36,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,3C:D9:2B:4E:27:0B,Microsoft Windows Server 2008 or 2008 Beta 3,100
,EC:B1:D7:59:50:0A,Microsoft Windows Server 2008 or 2008 Beta 3,100
,D4:81:D7:E0:27:AE,Microsoft Windows Server 2008 or 2008 Beta 3,91
,EC:B1:D7:51:26:36,Microsoft Windows 7 Professional or Windows 8,100
,EC:B1:D7:50:99:25,Microsoft Windows 10 build 10586 - 14393,93
,EC:B1:D7:51:24:C3,Microsoft Windows Server 2008 or 2008 Beta 3,100
,94:57:A5:F1:43:FC,Microsoft Windows 10 build 10586 - 14393,93
owncloud.business.auburn.edu,50:9A:4C:59:A5:9C,Microsoft Windows 10 build 10586 - 14393,93
,64:51:06:5E:BF:61,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:7F:70:82,Microsoft Windows 7 Professional or Windows 8,100
,8C:DC:D4:28:A3:5C,Microsoft Windows Server 2008 or 2008 Beta 3,100
,64:51:06:5E:BF:60,Microsoft Windows Server 2008 or 2008 Beta 3,100
,50:9A:4C:4F:02:09,Microsoft Windows 10 build 10586 - 14393,93
,50:65:F3:4A:22:B8,Microsoft Windows Server 2008 or 2008 Beta 3,100
,58:20:B1:5C:ED:61,Probably not Windows,
,F8:CA:B8:0C:57:A8,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",91
,94:57:A5:F0:C5:14,Microsoft Windows 10 build 10586 - 14393,93
,78:E7:D1:D8:78:19,Microsoft Windows Server 2008 or 2008 Beta 3,100
,80:C1:6E:EA:CA:96,Microsoft Windows Server 2008 or 2008 Beta 3,100
,08:2E:5F:22:C0:0F,Microsoft Windows Server 2008 or 2008 Beta 3,100
,10:60:4B:83:35:A3,Microsoft Windows Server 2008 or 2008 Beta 3,100
,48:0F:CF:5D:F7:CF,Microsoft Windows 10 build 10586 - 14393,93
,50:9A:4C:59:A6:E8,Microsoft Windows 10 build 10586 - 14393,93
,80:C1:6E:E6:AA:66,Microsoft Windows 10 build 10586 - 14393,93
,48:0F:CF:63:1D:54,Microsoft Windows 10 build 10586 - 14393,93
,80:C1:6E:EC:83:D2,Microsoft Windows 10 build 10586 - 14393,93
,00:26:B9:8E:ED:A1,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",100
,50:9A:4C:53:EA:AE,Microsoft Windows Phone 7.5 or 8.0,92
,00:26:73:B9:44:38,Probably not Windows,
,64:51:06:2A:67:48,Microsoft Windows Server 2008 or 2008 Beta 3,100
,80:C1:6E:E6:AA:5B,Microsoft Windows Server 2008 or 2008 Beta 3,100
,48:0F:CF:63:1E:7B,Microsoft Windows 10 build 10586 - 14393,93
,80:C1:6E:EC:84:12,Microsoft Windows 7 Professional or Windows 8,100
,50:9A:4C:53:E9:FC,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",92
,A0:48:1C:7F:70:77,Microsoft Windows 7 Professional or Windows 8,100
,A0:D3:C1:29:EA:B0,Microsoft Windows 7 Professional or Windows 8,100
,80:C1:6E:EA:CA:9E,Microsoft Windows 10 build 10586 - 14393,93
,A0:D3:C1:33:12:A0,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:80:AF:1C,Microsoft Windows Server 2008 or 2008 Beta 3,100
,C4:34:6B:5C:F6:F2,Microsoft Windows 10 build 10586 - 14393,95
,8C:DC:D4:4E:5E:C7,Microsoft Windows XP SP2,89
,3C:D9:2B:4E:25:94,Microsoft Windows Server 2008 or 2008 Beta 3,100
,70:5A:0F:38:DF:95,Microsoft Windows 10 build 10586 - 14393,93
,F8:CA:B8:05:98:44,Microsoft Windows Server 2008 SP1,89
,00:50:56:87:41:0D,Probably not Windows,
,00:26:B9:8D:0A:E7,Microsoft Windows Server 2008 or 2008 Beta 3,100
,84:7B:EB:4B:BF:F3,Microsoft Windows 10 build 10586 - 14393,93
,D8:9E:F3:02:16:D4,Microsoft Windows Server 2008 or 2008 Beta 3,89
,8C:DC:D4:50:A4:42,Microsoft Windows Server 2008 or 2008 Beta 3,100
,10:60:4B:75:DE:B7,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:80:A1:CE,Microsoft Windows 10 build 10586 - 14393,93
,B8:AE:ED:23:29:17,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:7F:70:A8,Microsoft Windows Server 2008 or 2008 Beta 3,100
mdt.business.auburn.edu,00:50:56:87:E6:EF,Microsoft Windows Server 2012 or Windows Server 2012 R2,100
,A0:48:1C:7F:70:4C,Microsoft Windows Server 2008 or 2008 Beta 3,100
,A0:48:1C:7F:70:B9,Microsoft Windows Server 2008 or 2008 Beta 3,100
,F8:0F:41:FC:30:CB,Probably not Windows,
,F8:0F:41:FC:30:0E,Probably not Windows,
,F8:0F:41:FC:31:76,Probably not Windows,
,F8:0F:41:FC:00:5C,Probably not Windows,
,88:51:FB:4B:41:B4,Microsoft Windows Server 2008 or 2008 Beta 3,100
,48:BA:4E:E0:EC:F9,Probably not Windows,
,00:50:56:87:07:5D,Probably not Windows,
,74:46:A0:91:B3:A9,Microsoft Windows 10 build 10586 - 14393,93
,A0:8C:FD:EB:64:A4,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7",92
,88:51:FB:4B:41:A8,Microsoft Windows Server 2008 or 2008 Beta 3,100
,80:C1:6E:EA:CA:7F,Microsoft Windows 10 build 10586 - 14393,93
,A0:48:1C:87:73:47,Microsoft Windows XP SP2,87
,8C:DC:D4:28:A3:50,Microsoft Windows Server 2008 or 2008 Beta 3,100
